#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
55506-4277-0998 0.86905   +3.8443   3.121 3.3   1  0    2.9663  20.16   -0.4447  0.383   -0.2732  0.267   
55506-4277-0997 0.87057   +3.8753   2.573 14.1  1  0    2.124   20.95   2.8119   0.0855  3.9347   0.12    
55860-4535-0866 0.88536   +8.6198   3.874 2.1   0  0    2.7375  20      2.7057   6.63    0.6994   1.65    
55860-4535-0872 0.89101   +8.1209   2.245 2.6   1  0    2.2432  20.04   1.7010   0.262   1.1612   0.176   
56574-7147-0942 0.89791   -6.1868   2.847 13.1  0  0    2.0485  20.18   1.6516   0.352   1.2006   0.218   
56544-6877-0264 0.90474   +25.8124  2.549 5.8   1  0    2.3173  20.42   1.1395   0.198   1.0167   0.179   
55478-4217-0570 0.92044   +0.4718   3.559 6.2   0  0    2.3005  20.69   0.8527   0.749   1.1045   0.888   
56544-6877-0293 0.92370   +25.6831  3.223 9.5   1  0    2.428   20.82   2.8402   0.137   3.5923   0.174   
56238-6173-0667 0.92441   +18.8778  3.387 2.5   1  0    3.2129  20.42   1.2773   0.622   1.1467   0.562   
56564-7135-0572 0.93690   +28.7531  2.458 3.2   0  0    2.4481  20.01   -0.9895  0.393   -0.5111  0.257   
56565-6498-0051 0.93968   +30.5012  2.722 5.2   1  0    2.2455  20.16   -0.5506  0.628   -0.3578  0.421   
56269-6172-0818 0.94207   +16.0966  2.315 11    1  0    2.1534  20.75   0.3349   0.0621  0.3954   0.0731  
55860-4535-0889 0.94988   +7.8111   2.217 2.3   1  0    2.1582  20.37   2.3002   0.269   2.1262   0.242   
56591-7148-0692 0.95611   -7.0467   2.555 8.5   1  0    2.0519  21.47   0.6667   0.103   1.3038   0.203   
55506-4277-0002 0.97318   +3.5105   2.546 2.2   0  0    2.2846  20.08   -0.7721  0.636   -0.6857  0.425   
55506-4277-0002 0.97318   +3.5105   2.546 2.2   0  0    2.3013  21.37   -0.7860  0.228   -1.2766  0.373   
56564-7144-0060 0.99585   +32.5204  3.018 5.1   1  0    2.5261  20.43   1.0552   0.633   0.9612   0.559   
56544-6877-0268 1.00761   +25.9488  2.972 10.9  1  0    2.6882  20.48   1.0379   0.153   0.9907   0.145   
56539-6879-0778 1.01217   +22.9532  2.312 7.9   1  0    2.0612  20.62   1.7310   0.0775  1.8360   0.0825  
55810-4354-0108 1.02074   -2.7025   2.794 1.8   1  0    2.4205  20.23   2.7421   2.48    1.6292   1.76    
56604-7167-0952 1.04559   -8.8208   2.431 3.9   0  0    2.0746  20.04   0.3518   0.74    0.3096   0.385   
55499-4296-0166 1.07487   +1.3495   3.331 5.8   1  0    2.2447  20.5    2.6375   0.457   2.6571   0.456   
55499-4296-0166 1.07487   +1.3495   3.331 5.8   1  0    3.0624  21.17   1.2860   0.0747  1.9348   0.112   
56564-7144-0052 1.08362   +32.3095  3.362 4.3   1  0    2.807   20.69   1.4531   0.786   1.5930   0.874   
56190-6182-0110 1.09719   +10.5161  2.249 5     1  0    2.227   20.26   1.6354   0.117   1.3582   0.0957  
56311-6171-0576 1.10975   +21.1901  2.388 3     1  0    2.338   20.48   -0.7538  0.235   -0.7406  0.231   
55831-4415-0246 1.11021   +4.3410   3.168 3.5   0  0    2.3778  20.9    1.4975   0.335   1.9442   0.437   
55499-4296-0864 1.11277   +3.3120   2.549 3     1  0    2.2381  20.66   0.8177   0.441   0.8725   0.493   
56240-6170-0743 1.12087   +20.7481  2.541 2.6   1  0    2.3173  20.38   0.3557   0.405   0.2747   0.353   
55478-4217-0583 1.15050   +1.1656   2.248 2.8   0  0    2.1343  20.1    1.8775   0.587   1.1596   0.378   
56269-6172-0134 1.15513   +15.1746  3.192 3.6   1  0    2.5812  21.68   1.8214   0.378   4.1739   0.862   
55912-5649-0374 1.15713   +12.4925  2.969 4.7   0  0    2.1484  20.54   2.4336   0.443   2.4958   0.455   
55912-5649-0374 1.15713   +12.4925  2.969 4.7   0  0    2.793   20.01   0.1067   0.291   0.0511   0.167   
56574-7147-0990 1.17562   -6.8669   2.692 2.7   0  0    2.6845  20.26   -0.2954  0.595   -0.2388  0.497   
55477-4216-0980 1.18050   +0.1810   2.578 1.9   0  0    2.2425  20.43   -0.1777  1.14    -0.0830  1.02    
55810-4354-0080 1.20261   -2.2625   2.377 2.2   1  0    2.2643  20.24   -0.0589  1       -0.0747  0.73    
55810-4354-0080 1.20261   -2.2625   2.377 2.2   1  0    2.3097  21.19   2.5248   0.348   3.4331   0.47    
56240-6170-0762 1.20506   +19.9159  3.136 8     1  0    2.1687  21.1    0.3746   0.164   0.6798   0.272   
56566-7127-0394 1.20633   +31.5328  2.41  2.4   1  0    2.4087  20.74   0.3875   0.378   0.4450   0.43    
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.3349  21.28   3.1846   1.97    5.0059   3.5     
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.3751  20.19   -11.8482 8.82    -6.7651  5.9     
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.468   21.06   3.1669   1.47    4.8818   2.2     
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.6023  20.05   2.3474   1.71    1.5068   1.12    
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.6215  20.04   5.3391   1.01    3.2237   0.604   
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.6634  21.23   -0.1168  0.502   -0.1322  0.777   
55477-4216-0022 1.22990   -0.3586   2.867 2.2   0  0    2.7427  21.15   1.7362   0.445   2.3476   0.577   
55499-4296-0151 1.23417   +1.8642   2.973 2.6   1  0    2.7041  20.16   -0.1621  0.596   -0.1123  0.437   
56268-6177-0111 1.23634   +12.9827  2.799 5.6   1  0    2.2538  20.31   2.7609   0.491   2.2112   0.385   
56268-6177-0111 1.23634   +12.9827  2.799 5.6   1  0    2.404   21.23   0.5865   0.278   0.8994   0.462   
55810-4354-0062 1.23662   -2.8337   3.371 10.8  0  0    2.6947  20.08   0.1416   0.474   0.1563   0.276   
55477-4216-0978 1.23715   +0.1176   2.291 5.5   1  0    2.1988  20.66   0.4539   0.0781  0.4899   0.085   
56625-7168-0670 1.29836   -8.7002   3.209 10.2  1  0    2.2903  20.61   0.8325   0.244   0.9034   0.273   
56625-7168-0670 1.29836   -8.7002   3.209 10.2  1  0    2.7747  20.25   0.3684   0.53    0.2441   0.381   
55478-4217-0391 1.30311   -0.9359   3.215 1.9   0  0    2.9929  20.1    0.0960   0.686   0.0462   0.446   
56190-6182-0938 1.31669   +10.8141  2.856 2.5   0  0    2.1361  20.23   0.6127   0.596   0.4017   0.424   
55478-4217-0342 1.35264   -1.0315   2.763 1.9   0  0    2.6659  20.05   1.4037   0.364   1.1276   0.286   
56543-6880-0478 1.35357   +24.2906  3.39  8.9   1  0    2.9137  20.55   0.3428   0.337   0.3798   0.346   
56543-6880-0478 1.35357   +24.2906  3.39  8.9   1  0    3.0509  20.81   0.7314   0.109   0.8827   0.131   
56625-7168-0336 1.35898   -10.6380  2.823 2.9   0  0    2.6567  20      2.5824   0.537   1.4724   0.312   
55863-4534-0280 1.36101   +8.9564   3.622 1.8   0  0    3.0447  20.26   -3.7153  2.06    -2.6508  1.56    
55912-5649-0318 1.37252   +11.6303  2.366 2.7   0  0    2.2536  21.17   1.6994   0.162   2.5651   0.243   
56591-7148-0798 1.38524   -6.4877   3.316 2.3   1  0    2.6131  20.01   -5.1031  2.3     -3.0137  1.2     
56264-6176-0290 1.39840   +11.2199  2.302 4.8   1  0    1.9972  21.25   0.7948   0.147   1.3379   0.256   
56268-6177-0136 1.40162   +13.9971  3.709 7.8   0  0    3.4891  20.46   2.1550   0.327   2.0003   0.305   
55863-4534-0268 1.42917   +8.5597   2.143 5.2   1  0    2.0143  20.42   1.4566   0.134   1.3086   0.12    
55477-4216-0019 1.46805   -0.1155   5.855 2.2   0  -1   5.2056  20.77   0.0000   0       0.0000   0       
55477-4216-0019 1.46805   -0.1155   5.855 2.2   0  -1   5.3035  20.44   0.0000   0       0.0000   0       
55477-4216-0019 1.46805   -0.1155   5.855 2.2   0  -1   5.7637  20.58   0.0000   0       0.0000   0       
56269-6172-0078 1.46918   +15.9413  3.688 3.3   1  0    3.329   20.42   -0.3941  0.37    -0.3584  0.337   
