#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
55685-4854-0686 163.60913 +6.6975   2.496 2.4   0  0    2.3234  20.2    -1.1354  0.895   -0.6329  0.643   
56340-6437-0808 163.61526 +26.9316  3.427 23.7  1  0    3.1222  20.67   1.4631   0.072   1.6235   0.0791  
56385-6706-0616 163.62039 +52.2966  3.129 11.8  1  0    2.4559  20.42   1.1889   0.308   1.0595   0.272   
56385-6706-0616 163.62039 +52.2966  3.129 11.8  1  0    2.7058  20.08   1.6397   0.456   0.9162   0.267   
55648-4732-0400 163.62175 +1.6269   2.496 4.6   1  0    2.0422  21.15   -1.9713  0.244   -3.0581  0.4     
56035-5887-0710 163.62654 +19.3745  3.321 5.5   0  0    2.5883  20.52   -0.0353  0.456   -0.0392  0.45    
56625-7095-0934 163.62813 +59.2512  2.672 12.5  0  0    2.1186  20.09   1.1279   0.36    0.7373   0.211   
55630-4629-0108 163.63509 +39.4701  2.612 2.1   1  0    2.2032  20.24   1.7459   1.12    1.2907   0.787   
56753-7380-0591 163.63536 +48.9845  2.474 2     0  0    2.2628  20.02   0.9314   1.01    0.5353   0.568   
55927-5354-0972 163.64565 +8.7485   3.143 5.1   0  0    2.2398  20.53   2.5425   0.51    2.5793   0.519   
55927-5354-0972 163.64565 +8.7485   3.143 5.1   0  0    2.829   20.11   2.1512   0.27    1.4473   0.184   
55979-5356-0350 163.66872 +10.2122  2.541 11.2  0  0    2.4777  20.11   3.1197   0.0862  2.2996   0.0651  
56740-7105-0280 163.67028 +65.1926  3.802 14.6  0  0    2.5001  20.01   1.5878   1.35    0.5442   0.426   
56367-6701-0934 163.67462 +48.7024  3.228 5.1   0  0    2.4728  20.01   1.2032   0.801   0.5167   0.42    
55648-4732-0346 163.68074 +1.1433   2.876 4.4   1  0    2.7324  20.31   0.8091   0.308   0.6613   0.252   
55980-5353-0100 163.68111 +11.8722  3.296 3.7   0  0    2.5009  20.16   1.4333   0.622   0.8913   0.409   
55980-5353-0100 163.68111 +11.8722  3.296 3.7   0  0    3.1984  20.31   1.2178   0.171   1.1154   0.157   
55979-5356-0360 163.68183 +10.3718  4.247 1.7   0  0    3.3409  20.33   -1.7665  1.29    -1.3934  1.04    
55979-5356-0360 163.68183 +10.3718  4.247 1.7   0  0    3.4288  20.17   0.2351   1.71    0.5016   1.09    
56384-6700-0536 163.68315 +50.2955  3.432 5.6   0  0    2.3596  20.56   0.5175   0.617   0.5318   0.644   
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    3.927   20.78   -2.0906  0.572   -2.6195  0.717   
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.0627  20.09   2.2703   3.03    0.8602   1.15    
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.3197  21      1.1758   0.392   1.6082   0.536   
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.4011  20.21   0.8107   1.04    0.5700   0.731   
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.4725  20.17   0.0000   0       0.0000   0       
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.5678  21.12   0.0000   0       0.0000   0       
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.7027  20.2    0.0495   0.993   0.0344   0.69    
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.7502  20.31   0.9010   0.319   0.7477   0.265   
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.8155  21.54   0.0000   0       0.0000   0       
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    4.9154  20.54   0.0000   0       0.0000   0       
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    5.0448  21.54   0.0000   0       0.0000   0       
56016-5358-0536 163.68930 +16.5604  5.134 5.6   0  0    5.0947  20.52   0.4688   0.187   0.4664   0.187   
56363-6446-0627 163.69490 +29.2850  2.261 4.9   0  3706 2.2172  20.45   -0.0300  0.331   -0.0242  0.309   
56363-6446-0627 163.69490 +29.2850  2.261 4.9   0  3706 2.2388  20.37   0.5198   0.254   0.4376   0.228   
55685-4854-0332 163.69709 +5.3580   2.56  4.9   1  0    2.5349  20.37   1.8661   0.157   1.6798   0.142   
56328-6427-0864 163.72164 +23.5561  2.651 6.7   1  0    2.2433  20.13   0.4205   0.573   0.2653   0.353   
56367-6701-0922 163.74327 +48.7527  3.059 5     1  0    2.1339  20.06   -0.7969  0.868   -0.5097  0.458   
56367-6701-0922 163.74327 +48.7527  3.059 5     1  0    2.3196  21.2    0.8892   0.268   1.4519   0.433   
56356-6449-0030 163.74860 +28.6434  2.641 5.2   1  0    2.216   21.32   1.3071   0.243   2.4099   0.428   
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   3.7619  20.67   1.4483   1.61    1.7507   1.94    
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   4.183   20.89   0.0000   0       0.0000   0       
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   4.3135  20.26   0.0000   0       0.0000   0       
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   4.518   20.29   0.0000   0       0.0000   0       
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   4.5742  20.09   0.0000   0       0.0000   0       
55630-4629-0917 163.76233 +40.4098  4.85  3.9   0  -1   4.6883  20.18   0.3913   0.363   0.3430   0.318   
56383-6664-0258 163.76519 +45.6321  2.859 3.1   0  0    2.624   20.12   0.5041   0.395   0.3499   0.261   
56328-6427-0856 163.77203 +22.3720  2.481 1.8   0  0    2.4165  20.18   0.2883   0.486   0.3472   0.398   
55570-3835-0034 163.77270 -0.1390   3.704 2.9   0  0    3.4945  20.05   0.1224   1.23    0.0370   0.798   
56383-6664-0812 163.78352 +46.6592  3.325 1.9   0  0    2.9408  20.02   3.0312   2.6     1.7097   1.41    
55685-4854-0710 163.78541 +7.3487   3.471 3.2   1  0    3.1945  20.73   3.3755   0.361   3.9185   0.424   
56363-6446-0680 163.78645 +29.1306  3.81  11.4  1  0    3.1023  20.78   0.3321   0.277   0.3286   0.343   
56384-6700-0488 163.79182 +49.8669  3.552 22    1  0    2.5254  20.6    0.2589   0.271   0.2802   0.3     
56328-6427-0142 163.79427 +21.9491  2.22  10.2  1  0    2.0238  20.36   2.3906   0.0777  2.0310   0.066   
56753-7380-0458 163.79751 +48.3136  4.56  6     0  0    4.4876  20.38   0.0000   0       0.0000   0       
56354-6418-0558 163.79772 +24.6340  3.739 5.7   1  0    2.7852  20.09   -1.7621  2.51    -1.4124  1.13    
56354-6418-0558 163.79772 +24.6340  3.739 5.7   1  0    3.6785  20.21   1.1773   0.371   0.8499   0.267   
55570-3835-0028 163.79880 -0.3397   3.605 9.8   0  0    2.1695  20.11   0.6970   1.11    0.3862   0.62    
55570-3835-0028 163.79880 -0.3397   3.605 9.8   0  0    2.3821  20.49   1.2830   0.244   1.2589   0.24    
56009-5355-0240 163.80020 +14.3605  2.96  9.8   0  0    2.3805  20.08   2.1168   0.49    1.1175   0.279   
56009-5355-0240 163.80020 +14.3605  2.96  9.8   0  0    2.8127  20.43   0.6406   0.131   0.5823   0.119   
55648-4732-0658 163.80244 +2.4871   3.009 9.8   1  0    2.2958  21.12   1.2666   0.138   1.9328   0.213   
55927-5354-0032 163.82127 +8.1601   2.119 3.2   0  0    2.0845  20.15   1.7384   0.183   1.2864   0.133   
55927-5354-0032 163.82127 +8.1601   2.119 3.2   0  0    2.1188  20.16   -1.0668  0.185   -0.8342  0.136   
56042-5876-0436 163.82491 +19.9947  3.15  1.6   0  0    3.0456  20.12   2.4569   0.5     1.9347   0.396   
55685-4854-0708 163.83721 +7.6186   2.831 23.9  1  0    2.4642  20.35   0.9665   0.134   0.8082   0.111   
55927-5354-0057 163.84128 +8.0173   2.725 10.8  0  0    2.2675  20.31   2.5949   0.283   2.0002   0.223   
55927-5354-0014 163.84697 +8.0574   2.628 11.8  0  0    2.3133  20.52   0.2789   0.138   0.2808   0.136   
55570-3835-0958 163.84894 +0.9549   3.235 7.9   1  0    2.5667  20.46   2.7349   0.447   2.4602   0.41    
56666-7102-0498 163.84902 +57.7886  3.162 2.5   0  0    2.9796  20.48   2.4998   0.279   2.3747   0.266   
55647-4626-0514 163.85316 +37.2329  3.069 10.6  1  0    2.1382  20.12   -0.8013  0.534   -0.6094  0.297   
55647-4626-0514 163.85316 +37.2329  3.069 10.6  1  0    2.3693  20.74   0.6074   0.209   0.6674   0.249   
56042-5876-0576 163.85614 +20.1564  3.541 7.6   0  0    2.338   20.37   -1.2347  2.51    -1.3316  2.13    
56042-5876-0576 163.85614 +20.1564  3.541 7.6   0  0    2.969   21.09   0.6295   0.266   0.9992   0.406   
55927-5354-0052 163.85901 +7.9453   2.169 5.8   1  0    2.1118  20.52   1.0660   0.0987  1.0658   0.0987  
55979-5356-0666 163.86234 +11.4946  2.702 3.4   0  0    2.4489  20.92   -0.5445  0.265   -0.7084  0.341   
56383-6664-0810 163.87994 +46.5529  3.02  5.6   1  0    2.3793  21.21   0.3555   0.301   0.6990   0.493   
56009-5355-0807 163.88786 +15.0446  2.335 3.1   1  0    2.2485  20.47   1.2322   0.142   1.1808   0.138   
56384-6700-0474 163.88871 +49.9317  2.803 2.1   0  0    2.6023  20.03   5.7043   0.411   3.3678   0.241   
56016-5358-0560 163.88957 +17.2866  2.971 4.2   0  0    2.7312  20.67   1.8064   0.127   1.9888   0.14    
55927-5354-0020 163.89427 +8.2062   3.602 2.7   0  0    3.3389  21.55   0.6565   0.566   1.1481   0.969   
56661-7103-0480 163.89864 +60.4205  2.785 14    1  0    2.6276  20.47   1.0463   0.0757  0.9859   0.0713  
56366-6445-0910 163.91014 +31.6960  3.644 2.6   1  0    2.9868  20.24   4.9558   0.953   3.5866   0.689   
56366-6445-0910 163.91014 +31.6960  3.644 2.6   1  0    3.4682  20.46   3.1175   0.81    2.9308   0.761   
56009-5355-0208 163.92101 +13.5826  2.7   19.5  0  0    2.1066  20.05   6.5821   0.244   3.9397   0.133   
55979-5356-0706 163.92151 +11.5372  2.763 6.4   0  0    2.5294  20.36   0.9427   0.136   0.8048   0.116   
55979-5356-0706 163.92151 +11.5372  2.763 6.4   0  0    2.6343  20.52   2.6109   0.173   2.5668   0.17    
56328-6427-0136 163.92287 +21.2946  2.954 1.8   0  0    2.4953  20.79   -1.6344  1.03    -1.9453  1.31    
55659-4774-0925 163.92681 +4.7759   2.745 2.3   0  0    2.4331  21.3    0.1379   0.34    0.2202   0.525   
56711-7104-0342 163.93192 +62.7257  3.576 18.3  1  0    2.929   20.64   1.1623   0.26    1.2377   0.277   
56366-6445-0922 163.93736 +31.5013  3.191 5     1  0    2.3712  20      -2.8638  0.728   -1.4886  0.371   
56366-6445-0922 163.93736 +31.5013  3.191 5     1  0    2.3984  20.96   3.1539   0.328   4.3221   0.445   
55630-4629-0076 163.94523 +39.5258  3.285 2     0  0    2.8867  20.34   -2.9502  2.89    -2.3494  2.34    
55685-4854-0284 163.94863 +4.8757   2.422 3.4   1  0    2.3852  20.94   0.7750   0.136   0.9734   0.167   
56753-7380-0392 163.95089 +47.3445  2.266 3.6   0  0    2.0682  20.07   5.6631   0.416   3.4460   0.252   
56328-6427-0112 163.96539 +22.1530  2.51  2.4   1  0    2.2062  20.89   1.0882   0.474   1.4157   0.633   
56625-7095-0952 163.96837 +59.9128  2.716 3.4   0  0    2.705   20.08   2.5370   0.447   2.0053   0.33    
55979-5356-0276 163.97166 +10.0867  2.745 6.9   0  0    2.3852  20.15   0.8324   0.554   0.4648   0.355   
55979-5356-0270 163.97186 +9.9013   4.007 5.1   0  0    3.5294  20.3    4.5311   5.85    5.4673   7.05    
55956-5357-0590 163.98284 +12.4794  2.748 2.9   0  0    2.4857  20.06   2.4818   0.585   1.6835   0.38    
55623-4630-0106 163.99244 +36.8641  2.567 3     0  0    2.393   20.13   0.0423   0.79    0.0565   0.543   
56328-6427-0090 163.99251 +21.0400  2.53  6.7   1  0    2.348   20.24   0.3496   0.262   0.2879   0.2     
56328-6427-0090 163.99251 +21.0400  2.53  6.7   1  0    2.5111  20.54   0.5488   0.119   0.5566   0.12    
56340-6437-0884 164.00757 +26.9380  3.189 11.8  0  0    2.5999  20.21   8.4417   0.279   5.8549   0.193   
56384-6700-0442 164.01226 +49.1551  3.235 6.6   1  0    2.4707  20.29   2.4119   0.471   1.8847   0.36    
56384-6700-0442 164.01226 +49.1551  3.235 6.6   1  0    2.8219  21.2    0.8968   0.285   1.4240   0.469   
56369-6442-0568 164.01989 +33.3125  2.411 3.7   1  0    2.2307  20.64   0.7935   0.242   0.8630   0.262   
55302-3836-0488 164.02396 -0.4011   3.098 2.8   0  0    2.3938  20.27   3.6452   0.81    2.8022   0.617   
55647-4626-0484 164.04031 +36.4917  3.406 3.8   0  0    2.5792  20.37   1.1729   2.09    0.8014   1.75    
55623-4630-0081 164.04318 +36.1171  2.836 8.5   0  0    2.1087  20.3    -0.5776  0.247   -0.4648  0.193   
56354-6418-0415 164.04405 +23.1470  2.236 3.2   1  0    2.0788  21.23   0.2534   0.211   0.3238   0.336   
56384-6700-0578 164.04679 +50.3189  2.707 6.3   0  0    2.0922  20.27   2.6285   0.49    1.9884   0.371   
55632-4625-0444 164.05270 +39.1776  2.697 2.1   1  0    2.328   20.11   1.0892   1.99    0.5664   1.19    
56383-6707-0804 164.07215 +55.0869  2.142 2.1   0  0    2.1376  20.28   1.6141   0.259   1.3577   0.218   
55648-4732-0242 164.07584 +0.9723   2.659 2.4   0  0    2.5858  20.49   0.8924   0.421   0.8914   0.415   
56366-6445-0032 164.08211 +30.6810  3.552 3.8   0  0    2.3388  20.81   1.7852   2.4     2.4975   3.49    
56340-6437-0120 164.08653 +26.4336  3.501 6.7   0  0    2.2351  20.21   0.6211   2.99    -1.0311  1.75    
56340-6437-0120 164.08653 +26.4336  3.501 6.7   0  0    2.256   20.11   -1.1036  0.871   -0.7011  0.549   
56340-6437-0120 164.08653 +26.4336  3.501 6.7   0  0    2.2892  20.74   -0.4041  0.215   -0.5492  0.266   
55617-4631-0272 164.08951 +34.8263  2.403 3.8   0  0    2.1641  20.55   1.7560   0.253   1.7571   0.254   
56366-6445-0924 164.09367 +31.3662  2.92  3.9   1  0    2.5009  20.96   0.7265   0.549   1.0645   0.781   
56366-6445-0972 164.09892 +31.1080  3.361 4.3   1  0    2.9207  20.82   1.0180   0.637   1.4971   0.845   
55570-3835-0990 164.09935 +0.4863   3.684 1.6   0  0    2.8476  20.22   -4.1749  3.06    -2.7950  2.11    
55980-5353-0998 164.09954 +12.9040  3.672 11.4  0  0    3.1076  20.32   2.4404   0.522   1.9746   0.403   
56042-5876-0584 164.10153 +21.1110  2.398 2.2   1  0    2.3288  20.53   0.8615   0.326   0.8746   0.329   
55565-3787-0552 164.10802 -0.8622   3.032 9.5   1  0    2.1073  20.2    -2.7301  0.449   -1.9683  0.297   
55565-3787-0552 164.10802 -0.8622   3.032 9.5   1  0    2.2341  20.05   2.0420   0.324   1.1052   0.18    
55565-3787-0552 164.10802 -0.8622   3.032 9.5   1  0    2.6435  20.47   1.2001   0.45    1.1658   0.426   
55565-3787-0552 164.10802 -0.8622   3.032 9.5   1  0    2.7118  20.16   1.3397   0.172   0.9754   0.126   
55654-4624-0350 164.11051 +41.5749  2.651 4     1  0    2.5833  20.27   0.1788   0.183   0.1875   0.158   
56328-6427-0108 164.11700 +22.1484  3.019 6.1   1  0    2.4807  20.79   3.5307   0.346   4.4515   0.432   
56384-6700-0422 164.12339 +49.7279  3.799 4.1   1  0    2.9209  20.25   0.5592   0.676   0.3988   0.488   
56384-6700-0422 164.12339 +49.7279  3.799 4.1   1  0    3.2306  20.13   7.2158   0.631   4.5026   0.392   
56366-6445-0040 164.12400 +31.0834  2.197 5.9   1  6    2.049   20.52   1.0823   0.124   1.0725   0.123   
56363-6446-0297 164.12489 +27.6573  2.98  3.7   1  0    2.4434  21.33   0.0650   0.411   0.0930   0.745   
56363-6446-0297 164.12489 +27.6573  2.98  3.7   1  0    2.7221  20.14   0.9239   0.545   0.6481   0.386   
56369-6442-0611 164.13741 +32.9677  2.904 5.3   1  0    2.8896  20.66   1.1735   0.158   1.2595   0.171   
55654-4624-0368 164.14804 +40.8767  3.442 13.1  1  0    2.7827  20.08   3.8344   0.633   2.2788   0.357   
55654-4624-0368 164.14804 +40.8767  3.442 13.1  1  0    3.2764  20.46   0.8215   0.208   0.7701   0.195   
55277-3772-0938 164.14962 -1.8324   2.924 3.7   1  0    2.8022  20.62   1.3913   0.145   1.4659   0.153   
55659-4774-0996 164.15134 +4.6730   2.473 2.6   1  0    2.2748  20.14   0.7442   0.41    0.4686   0.277   
56354-6418-0412 164.15699 +23.1799  2.556 1.7   0  0    2.3181  20.39   0.2158   0.772   0.1798   0.684   
56354-6418-0412 164.15699 +23.1799  2.556 1.7   0  0    2.379   20.64   2.1658   0.682   2.2907   0.737   
56009-5355-0848 164.15831 +14.9468  3.872 7.7   0  0    2.8343  20.25   1.6589   0.52    1.3225   0.384   
55953-5359-0464 164.16789 +7.9414   3.681 10.2  0  0    3.4595  20.3    0.5690   0.32    0.4749   0.256   
55979-5356-0228 164.17153 +10.0152  2.905 2.8   0  0    2.6181  20.1    0.2689   0.575   0.2772   0.394   
56369-6442-0382 164.17485 +32.2561  4.101 5.8   0  0    2.9745  20.13   -0.0501  0.661   0.0904   0.396   
56340-6437-0098 164.17939 +25.7672  2.606 2.6   0  0    2.1116  20      2.7682   1.17    1.3952   0.587   
56363-6446-0709 164.18505 +29.6730  2.574 5.6   0  0    2.2017  20.11   -1.6482  0.713   -0.8339  0.408   
56385-6706-0698 164.19930 +52.3955  2.697 4.4   1  0    2.2205  20.95   1.9733   0.333   2.7979   0.468   
56385-6706-0698 164.19930 +52.3955  2.697 4.4   1  0    2.4223  20.5    1.5836   0.2     1.5279   0.194   
56366-6445-0038 164.20942 +30.9849  3.177 2.3   1  0    2.5114  21.43   2.2406   0.491   4.1342   0.95    
55656-4689-0774 164.21166 +44.2754  2.457 3.6   1  0    2.2292  20.68   1.8699   0.223   2.0801   0.247   
56369-6442-0608 164.21629 +33.1323  3.011 2.4   0  0    2.3834  20.36   4.9191   0.883   4.2091   0.736   
56749-7393-0538 164.22233 +45.9250  2.08  3.7   1  0    2.0689  20.21   0.8469   0.114   0.6833   0.088   
56369-6442-0368 164.22732 +31.5316  2.837 8     0  0    2.1353  20.47   2.4760   0.255   2.3575   0.239   
56354-6418-0400 164.23086 +23.8863  2.297 9.1   1  0    2.0898  20.71   2.0190   0.0885  2.2775   0.1     
56009-5355-0143 164.23521 +14.0096  2.946 7.2   0  0    2.071   20.62   -1.2585  0.446   -1.4356  0.499   
56009-5355-0143 164.23521 +14.0096  2.946 7.2   0  0    2.6508  21.84   -0.6806  0.131   -1.3248  0.249   
56363-6446-0294 164.23830 +27.6072  2.747 2.7   0  0    2.3542  20.03   -1.2416  2.69    -0.0855  1.36    
55979-5356-0224 164.23835 +9.8883   2.567 7.6   0  0    2.0952  20.06   5.4007   0.48    2.9369   0.264   
55656-4689-0752 164.25135 +45.0083  2.244 2.6   0  0    2.2343  20.39   0.8434   0.423   0.7346   0.386   
56363-6446-0724 164.26249 +28.7131  3.392 7.8   0  0    3.3219  21      0.8900   0.102   1.1355   0.129   
56661-7103-0460 164.26656 +59.2590  3.384 4.7   1  0    3.1965  20.03   0.7986   0.653   0.4694   0.372   
56363-6446-0742 164.27104 +29.7350  2.261 1.8   0  0    2.2202  20.58   0.6499   0.326   0.6673   0.337   
56035-5887-0838 164.27240 +19.1786  4.124 10.4  0  0    2.7479  20      -3.2640  0.273   -1.6385  0.144   
55659-4774-0032 164.27466 +4.3974   2.691 2.7   0  0    2.5325  20.13   0.1115   0.43    0.0736   0.288   
55685-4854-0812 164.30113 +6.5497   3.118 2.6   1  0    2.9029  20.06   -1.5854  0.586   -1.0623  0.365   
55656-4689-0200 164.31176 +44.0566  3.304 34.2  1  0    3.3049  20      0.3968   0.0491  0.2940   0.0348  
56385-6706-0709 164.31344 +53.2443  3.218 3.4   1  0    3.0549  20.91   -0.0895  0.204   -0.1022  0.264   
56625-7095-0058 164.32215 +58.0176  3.3   12.9  0  0    2.4529  20.37   1.2857   0.178   1.0824   0.15    
56741-7111-0511 164.32544 +67.0810  2.534 2.8   0  811  2.4688  20.39   -0.2975  0.503   -0.2375  0.461   
55632-4625-0622 164.33930 +40.7239  3.344 2     0  0    2.4347  20.15   -0.8000  2.26    -0.1752  1.39    
55632-4625-0622 164.33930 +40.7239  3.344 2     0  0    3.3021  20.56   1.3252   0.421   1.3561   0.431   
56042-5876-0348 164.33970 +19.6202  3.35  5.4   0  0    2.7284  21.5    2.4958   0.599   6.0191   1.44    
55656-4689-0256 164.34266 +42.8765  3.278 2.5   0  0    3.2178  20.32   1.6360   0.28    1.4745   0.254   
56328-6427-0974 164.34499 +23.0706  2.685 12.2  0  0    2.0063  20      2.7876   0.308   1.4697   0.154   
55654-4624-0686 164.35270 +42.4377  2.797 2.1   0  0    2.3928  20.35   2.2719   1.28    1.8614   1.08    
55656-4689-0792 164.35429 +44.6042  2.588 1.9   0  0    2.2463  20.04   1.4647   1.1     0.7528   0.599   
56385-6706-0304 164.36208 +51.7998  2.218 5.4   1  0    2.1339  20.39   0.4973   0.097   0.4618   0.0898  
56363-6446-0772 164.36547 +28.5433  2.52  3.8   1  0    2.1591  20.89   1.0045   0.342   1.3711   0.472   
56363-6446-0772 164.36547 +28.5433  2.52  3.8   1  0    2.3883  20.25   1.1191   0.437   0.8308   0.34    
56042-5876-0664 164.36578 +20.9311  4.04  3.6   0  0    3.5623  20.76   0.7108   0.564   0.8584   0.661   
56369-6442-0361 164.36674 +31.3511  2.229 2.1   0  0    2.1988  20.13   -0.0121  0.865   -0.0326  0.611   
55617-4631-0238 164.37491 +35.0389  2.684 2     1  0    2.422   20.64   -0.7205  0.387   -0.7650  0.412   
55979-5356-0204 164.37844 +9.1107   2.926 4.9   0  0    2.262   20.22   -0.7792  0.648   -0.5159  0.456   
56660-7094-0046 164.38003 +55.4792  3.204 5.9   0  0    2.1892  20      -0.2815  1.16    -0.1312  0.61    
56366-6445-0964 164.39029 +31.5834  2.436 4.2   1  0    2.439   21.19   1.1212   0.169   1.5248   0.249   
56660-7094-0044 164.39262 +55.4074  3.212 3.4   1  0    2.3542  20.66   1.5481   1.28    1.9311   1.52    
55623-4630-0952 164.39668 +38.2947  3.582 1.8   1  0    3.0793  20.43   -5.1939  3.35    -4.8168  3.11    
56363-6446-0787 164.39917 +29.7726  2.587 6.9   1  0    2.1665  20.67   1.8494   0.241   2.0737   0.274   
56363-6446-0787 164.39917 +29.7726  2.587 6.9   1  0    2.2876  20.07   1.0137   0.25    0.6907   0.162   
56363-6446-0787 164.39917 +29.7726  2.587 6.9   1  0    2.315   20.41   1.9398   0.193   1.7341   0.173   
56009-5355-0086 164.39949 +13.5035  3.706 4.4   0  0    2.5415  20.25   -2.6854  1.28    -2.0613  0.952   
56009-5355-0086 164.39949 +13.5035  3.706 4.4   0  0    2.6231  20.05   3.7238   1.26    1.3952   0.621   
56009-5355-0086 164.39949 +13.5035  3.706 4.4   0  0    2.7956  20.08   1.5210   0.769   1.0368   0.442   
56009-5355-0086 164.39949 +13.5035  3.706 4.4   0  0    3.5293  20.25   3.3342   0.535   2.6765   0.428   
55302-3836-0590 164.40935 +0.9348   2.578 2.4   0  0    2.1052  20.03   0.3334   1.3     0.3328   0.675   
55953-5359-0600 164.40985 +8.5147   2.985 20    0  0    2.5672  20.47   0.4607   0.154   0.4103   0.145   
55953-5359-0430 164.42082 +8.1463   3.175 2.4   0  0    2.3021  20.53   -0.9411  1.43    -0.9309  1.45    
56354-6418-0354 164.42842 +23.8970  3.382 4.4   1  0    2.782   20.86   2.1009   0.588   2.8755   0.767   
56279-6428-0506 164.43029 +22.0822  3.084 4.5   1  0    2.9092  20.84   0.4127   0.198   0.5081   0.245   
56385-6706-0320 164.43048 +52.1130  2.606 9.5   1  0    2.1353  20.19   -0.1035  0.286   -0.0677  0.196   
56385-6706-0320 164.43048 +52.1130  2.606 9.5   1  0    2.1979  20.78   5.6937   0.169   7.0604   0.21    
56683-7096-0004 164.43290 +60.5666  2.501 4.6   1  0    2.152   20.6    1.0529   0.251   1.1252   0.267   
55685-4854-0854 164.43523 +6.4873   3.153 24.9  1  0    2.4997  20.57   4.2336   0.0921  4.4110   0.0957  
55277-3772-0068 164.44383 -1.8821   2.609 2.2   1  0    2.4386  21.06   0.4343   0.149   0.6208   0.211   
56354-6418-0694 164.45588 +24.2186  2.324 3.9   0  0    2.0655  20.49   2.6470   0.173   2.5568   0.167   
56363-6446-0792 164.46502 +29.4830  2.632 3.5   1  0    2.5272  20.76   1.7032   0.138   1.9313   0.155   
56009-5355-0920 164.46963 +15.1039  2.163 14.2  1  0    2.0754  20.4    3.5478   0.0426  3.2956   0.0393  
56358-6412-0540 164.47144 +26.1642  3.557 11    0  0    2.265   20.04   -0.7813  0.449   -0.3663  0.252   
56740-7105-0192 164.47712 +65.0071  2.477 7.2   1  0    2.2893  20.63   2.5755   0.113   2.8188   0.123   
55617-4631-0818 164.47873 +35.0690  3.065 6.9   1  0    2.6198  20.6    0.4633   0.347   0.4986   0.366   
56384-6700-0380 164.47979 +49.6227  3.143 6.2   1  0    2.4521  20.65   0.3480   0.351   0.3859   0.387   
55925-4771-0542 164.48016 +5.0750   2.705 2.3   0  0    2.338   20.39   4.3755   1.35    3.6582   1.14    
56625-7095-0036 164.48079 +58.8396  3.71  3.3   1  0    3.6217  20.42   2.3396   0.243   2.2538   0.231   
56383-6664-0144 164.48445 +45.9314  4.13  31.5  1  0    3.318   20.02   -0.8170  0.219   -0.4438  0.119   
55953-5359-0640 164.48520 +8.5179   3.456 8.1   0  0    2.5907  20.45   -3.6715  0.376   -3.4268  0.346   
55953-5359-0640 164.48520 +8.5179   3.456 8.1   0  0    3.2224  21.51   2.4315   0.0946  4.3116   0.168   
56354-6418-0340 164.48717 +23.3487  2.905 7.8   1  0    2.7309  20.53   0.7942   0.129   0.7869   0.128   
56666-7102-0434 164.48944 +57.7548  3.291 4.4   0  0    2.4537  20.15   0.9681   0.535   0.6272   0.35    
56384-6700-0388 164.49396 +49.7073  2.694 1.9   1  0    2.2358  20.73   0.2701   0.962   0.1851   1.15    
55302-3836-0612 164.49916 +0.6393   2.831 2.4   0  0    2.7349  20.76   1.9483   0.263   2.2332   0.298   
55979-5356-0194 164.50206 +10.1380  2.469 2     0  0    2.2718  20.33   1.5454   0.351   1.2669   0.289   
55953-5359-0630 164.50583 +8.5834   3.212 18.8  0  0    3.0004  20.28   0.5893   0.0716  0.4681   0.0566  
